NOV Mnemonic,ODM,SDM WITS,"TSDB WITS:

_T -EOG OrangeBox Data-RT Data
_Pason_10T - NOV WITSML HISTORIC DATA 10 SECOND
_Pason_1T -NOV WITSML HISTORIC 1 SECOND Data
Example: 0108_T/0108_Pason_10T,0108_Pason_1T",metric_nice_name,metric_category,metric_display_name,uom
BIT_DEPTH,bitloc,0108,,Bit Depth,DEPTH,BDTP,ft
TOT_DPT_MD,depth,0110,,Hole Depth,DEPTH,MD,ft
BLOCK_POS,block_height,0112,,BLOCK HEIGHT,HEIGHT,BLKPOS,ft
AVG_ROP_FT_HR,rop,0113,,ROP,RATE,ROPA,ft/hr
HOOKLOAD_MAX,hkld,0115,,HOOK_LOAD,LOAD,HKLX,kLBS
BIT WEIGHT,wob,0117,,WEIGHT ON BIT,LOAD,WOBX,kLBS
TD_TORQUE,torque,0119,,ROTARY TORQUE,TORQUE,TORQX,kFT-LBS
TD_SPEED,rpm,0120,,ROTARY SPEED,SPEED,RPMA,RPM
STP_PRS_1,ppres,0121,,PUMP PRESSURE,PRESSURE,SPPA,PSI
ANN_PRESSURE,cpres,0122,,CASING_PRESS,PRESSURE,CHKP,PSI
MP1_SPM,pmp1rt,0123,,PUMP 1 RATE,RATE,SPM1,SPM
MP2_SPM,pmp2rt,0124,,PUMP 2 RATE,RATE,SPM2,SPM
MP3_SPM,pmp3rt,0125,,PUMP 3 RATE,RATE,SPM3,SPM
FLOW_OUT,flowo,0128,,FLOW OUT,PERCENTAGE,MFOP,%
FLOW_IN,pumpo,0130,,PUMP OUTPUT,RATE,MFIA,GPM
GAS_TOTAL,gas_3rd_party,0140,,GAS 3RD PARTY,PERCENTAGE,GASA,%
Basic MSE,mse,0141,,MSE,ENERGY,MSE,ksi
GWA Total Gas,gas,0170,,Pason GAS,GAS,PGAS,Gas10000
AD Delta P,diffpres,0171,,DIFFERENTIAL PRESSURE,PRESSURE,DIFPRES,PSI
SRV_INC,inclination,0713,,INCLINATION,ANGLE,SVYINC,
SRV_AZI,azimuth,0715,,AZIMUTH,ANGLE,SVYAZC,degrees
GAMMA_RAY,gamma,0824,,GAMMA Corrected,GAMMA,MG1C,API
